Designator,Mid X,Mid Y,Rotation,Layer
U34,209.042,-142.494,0.0,top
U35,209.042,-138.43,0.0,top
U36,189.738,-148.59,0.0,top
U37,189.738,-152.654,0.0,top
U38,196.342,-148.59,0.0,top
U39,196.342,-152.654,0.0,top
U4,294.386,-125.984,270.0,top
U40,202.946,-148.59,0.0,top
U41,202.946,-152.654,0.0,top
U42,209.042,-152.654,0.0,top
U43,209.042,-148.59,0.0,top
U44,189.738,-158.75,0.0,top
U45,189.738,-162.814,0.0,top
U46,196.342,-158.75,0.0,top
U47,196.342,-162.814,0.0,top
U48,202.946,-158.75,0.0,top
U49,202.946,-162.814,0.0,top
U5,294.386,-130.81,270.0,top
U50,209.042,-162.814,0.0,top
U51,209.042,-158.75,0.0,top
U52,189.738,-168.91,0.0,top
U53,189.738,-172.974,0.0,top
U54,196.342,-168.91,0.0,top
U55,196.342,-172.974,0.0,top
U56,202.946,-168.91,0.0,top
U57,202.946,-172.974,0.0,top
U58,209.042,-172.974,0.0,top
U59,209.042,-168.91,0.0,top
U6,294.386,-135.636,270.0,top
U60,235.712,-138.43,0.0,top
U61,235.712,-142.494,0.0,top
U62,242.316,-142.494,0.0,top
U63,248.412,-142.494,0.0,top
U64,242.316,-138.43,0.0,top
U65,235.712,-148.59,0.0,top
U66,235.712,-152.654,0.0,top
U67,242.316,-152.654,0.0,top
U68,248.412,-152.654,0.0,top
U69,242.316,-148.59,0.0,top
U7,294.386,-140.462,270.0,top
U70,235.712,-158.75,0.0,top
U71,235.712,-162.814,0.0,top
U72,242.316,-162.814,0.0,top
U73,248.412,-162.814,0.0,top
U74,242.316,-158.75,0.0,top
U75,235.712,-168.91,0.0,top
U76,235.712,-172.974,0.0,top
U77,242.316,-172.974,0.0,top
U78,248.412,-172.974,0.0,top
U79,242.316,-168.91,0.0,top
U8,294.386,-164.338,270.0,top
U80,174.244,-159.766,0.0,top
U81,174.244,-147.066,0.0,top
U82,174.244,-151.13,0.0,top
U83,174.244,-155.702,0.0,top
U84,174.244,-134.366,0.0,top
U85,174.244,-138.43,0.0,top
U86,174.244,-142.494,0.0,top
U87,180.34,-151.13,0.0,top
U88,180.34,-155.702,0.0,top
U89,180.34,-138.43,0.0,top
U9,294.386,-169.164,270.0,top
U90,185.42,-134.366,0.0,top
U91,180.34,-142.494,0.0,top
U92,180.34,-147.066,0.0,top
U93,180.34,-159.766,0.0,top
U94,219.71,-168.91,0.0,top
U95,219.71,-158.75,0.0,top
U96,219.71,-162.814,0.0,top
U97,219.71,-172.974,0.0,top
U98,219.71,-142.494,0.0,top
U99,219.71,-148.59,0.0,top
