Designator,Mid X,Mid Y,Rotation,Layer
R5,201.93,-78.486,180.0,top
R50,219.71,-148.844,0.0,top
R51,213.868,-150.368,0.0,top
R52,217.678,-148.844,90.0,top
R53,228.854,-143.764,90.0,top
R54,215.9,-129.032,180.0,top
R55,224.028,-129.032,0.0,top
R56,221.996,-127.254,180.0,top
R57,217.17,-68.072,0.0,top
R58,220.218,-68.072,0.0,top
R59,214.122,-109.22,180.0,top
R6,197.358,-104.648,270.0,top
R60,217.17,-109.22,0.0,top
R61,220.218,-109.22,0.0,top
R62,164.338,-123.444,270.0,top
R63,151.892,-123.444,180.0,top
R64,186.696,-161.036,0.0,top
R65,186.69,-159.512,0.0,top
R66,186.69,-157.988,0.0,top
R67,186.69,-156.464,0.0,top
R68,186.69,-154.178,0.0,top
R69,186.69,-152.654,0.0,top
R7,236.728,-106.68,270.0,top
R70,186.69,-151.13,0.0,top
R71,186.69,-149.606,0.0,top
R72,186.69,-147.32,0.0,top
R73,186.69,-145.796,0.0,top
R74,186.69,-144.272,0.0,top
R75,186.69,-142.748,0.0,top
R76,171.958,-123.444,270.0,top
R77,157.48,-123.444,0.0,top
R78,168.148,-123.444,270.0,top
R79,154.686,-122.174,90.0,top
R8,235.204,-106.68,270.0,top
R80,171.958,-136.144,270.0,top
R81,157.48,-136.144,0.0,top
R82,164.338,-136.144,270.0,top
R83,151.892,-136.144,180.0,top
R84,168.148,-136.144,270.0,top
R85,154.686,-134.874,90.0,top
R86,164.338,-148.844,270.0,top
R87,151.892,-148.844,180.0,top
R88,171.958,-148.844,270.0,top
R89,157.48,-148.844,0.0,top
R9,252.984,-110.744,0.0,top
R90,168.148,-148.844,270.0,top
R91,154.686,-147.574,90.0,top
R92,168.148,-161.544,270.0,top
R93,154.686,-160.274,90.0,top
R94,171.958,-161.544,270.0,top
R95,157.48,-161.544,0.0,top
R96,164.338,-161.544,270.0,top
R97,151.892,-161.544,180.0,top
R98,214.122,-68.072,180.0,top
R99,186.69,-110.236,0.0,top
RV1,227.232,-163.0,0.0,bottom
SW1,231.232,-113.0,0.0,bottom
SW2,261.232,-113.0,0.0,bottom
SW3,261.232,-137.0,0.0,bottom
SW4,231.232,-137.0,0.0,bottom
SW5,271.232,-89.0,0.0,bottom
SW6,249.232,-167.0,0.0,bottom
SW7,271.232,-167.0,0.0,bottom
SW8,205.232,-167.0,0.0,bottom
U1,235.966,-113.03,90.0,top
U10,196.596,-93.218,270.0,top
U11,200.66,-93.218,270.0,top
U12,215.138,-79.756,0.0,top
U13,215.138,-91.948,0.0,top
U14,200.66,-98.806,270.0,top
U15,221.234,-79.756,0.0,top
U16,221.234,-91.948,0.0,top
U17,194.564,-125.222,180.0,top
U18,194.564,-121.158,180.0,top
U19,221.234,-83.82,0.0,top
U2,256.286,-113.03,90.0,top
U20,221.234,-96.012,0.0,top
U21,204.724,-122.936,0.0,top
U22,189.484,-125.222,180.0,top
U23,189.484,-121.158,180.0,top
U24,227.33,-83.82,0.0,top
U25,227.33,-96.012,0.0,top
U26,204.724,-127.0,0.0,top
U27,233.426,-83.82,0.0,top
U28,233.426,-96.012,0.0,top
U29,209.804,-127.0,0.0,top
U3,266.192,-137.16,90.0,top
U30,227.838,-79.756,0.0,top
U31,227.838,-91.948,0.0,top
